"Case_ID","Player_ID","Activity","Timestamp","Category","Question_Value","Answer_Given","Result","Score_After_Play"
"Game001","System","Load File","2025-12-02T03:12:16.772861700","","0","","Success","0"
"Game001","System","Start Game","2025-12-02T03:12:16.773523500","","0","","","0"
"Game001","System","Select Player Count","2025-12-02T03:12:21.489472200","","0","2","N/A","0"
"Game001","System","Enter Player Name","2025-12-02T03:12:25.603291900","","0","shem1","N/A","0"
"Game001","System","Enter Player Name","2025-12-02T03:12:28.765846200","","0","shem2","N/A","0"
"Game001","shem1","Select Category","2025-12-02T03:12:34.310607400","functions","0","","","0"
"Game001","shem1","Select Question","2025-12-02T03:12:36.511489800","functions","100","","","0"
"Game001","shem1","Answer Question","2025-12-02T03:12:42.602413100","functions","100","void","Correct","100"
"Game001","shem2","Select Category","2025-12-02T03:12:47.076312300","arrays","0","","","0"
"Game001","shem2","Select Question","2025-12-02T03:12:50.661054900","arrays","300","","","0"
"Game001","shem2","Answer Question","2025-12-02T03:12:59.786364500","arrays","300","for","Correct","300"
"Game001","shem1","Select Category","2025-12-02T03:13:06.913971700","arrays","0","","","0"
"Game001","shem1","Select Question","2025-12-02T03:13:10.539259500","arrays","100","","","0"
"Game001","shem1","Answer Question","2025-12-02T03:13:12.773966700","arrays","100","int arr[5];","Correct","200"
"Game001","shem2","Select Category","2025-12-02T03:13:20.245956500","functions","0","","","0"
"Game001","shem2","Select Question","2025-12-02T03:13:22.809497100","functions","300","","","0"
"Game001","shem2","Answer Question","2025-12-02T03:13:30.355233700","functions","300","int","Correct","600"
"Game001","System","Exit Game","2025-12-02T03:13:34.350695100","","0","","","0"
"Game001","System","Generate Event Log","2025-12-02T03:13:34.350695100","","0","","N/A","0"
